dates,country,cor.taste,cor.smell,total new,population,total.per.pop,,min,max,avg.per.region,stdv,min.per.pop,max.per.pop,avg.per.region.per.pop,stdv.per.pop
4-10 March,Italy,-0.213061551,-0.185939509,7647,60.359546,126.6908137,,6,4271,382.35,928.6095129,0.099404326,70.75931287,6.334540687,15.38463382
11-17 March,Italy,0.908299377,0.973515342,21357,60.359546,353.8296991,,10,10429,1067.85,2237.965466,0.165673877,172.7812863,17.69148496,37.07724154
18-24 March,Italy,0.803511203,0.812688437,37670,60.359546,624.0934947,,48,14483,1883.5,3178.502014,0.79523461,239.9454761,31.20467473,52.65947516
25-31 March,Italy,0.823591068,0.831412194,36815,60.359546,609.9283782,,71,12704,1840.75,2783.542076,1.176284527,210.4720933,30.49641891,46.11602075
1-7 April,Italy,0.737061539,0.394323796,29794,60.359546,493.6087491,,65,9117,1489.7,2083.090063,1.076880201,151.0448737,24.68043746,34.51136069
8-14 April,Italy,0.447301216,0.23721252,26902,60.359546,445.6958639,,28,9001,1345.1,2065.862602,0.463886856,149.1230567,22.2847932,34.22594666
15-21 April,Italy,0.040913016,0.313026114,21565,60.359546,357.2757158,,25,6605,1078.25,1616.220495,0.414184693,109.4275958,17.86378579,26.77655155
22-28 April,Italy,-0.355776978,0.191328444,17548,60.359546,290.7245194,,15,6417,877.4,1507.697198,0.248510816,106.3129269,14.53622597,24.97860401
4-10 March,US,-0.291982885,-0.238684463,635,316.9730218,2.003325067,,0,148,12.45098039,31.66139093,0,0.466916708,0.039280884,0.099886706
11-17 March,US,-0.124593871,-0.074202661,5310,316.9730218,16.75221434,,0,1428,104.1176471,230.2603511,0,4.505115268,0.328474791,0.726435171
18-24 March,US,0.504442774,0.658958301,47553,316.9730218,150.0222313,,18,24103,932.4117647,3334.750508,0.056787167,76.04117179,2.941612379,10.52061304
25-31 March,US,0.595377312,0.810045024,134109,316.9730218,423.0927896,,78,50152,2629.588235,7168.1393,0.246077725,158.2216673,8.29593705,22.6143514
1-7 April,US,0.805283361,0.734637447,208544,316.9730218,657.9235003,,94,64042,4089.098039,9574.528931,0.296555207,202.0424314,12.90046079,30.20613198
8-14 April,US,0.423374449,0.432741486,210176,316.9730218,663.0722035,,66,63145,4121.098039,9388.62198,0.208219613,199.2125375,13.00141576,29.61962481
15-21 April,US,0.381535269,0.348481061,203983,316.9730218,643.5342631,,38,55341,3999.666667,8378.153781,0.11988402,174.5921457,12.61831888,26.43175666
22-28 April,US,-0.044356016,0.138174964,205448,316.9730218,648.1561076,,14,41587,4028.392157,6896.483455,0.044167797,131.2004402,12.70894329,21.75731996
