date,total.positive,new.positives,total.cases,population.per.mil,total.pos.per.mil,total.cas.per.mil,new.positives.per.mil,new.total.positive,new.total.cases,new.per.pop
04-03-20,2706,587,3089,60.359546,44.83135112,51.17666061,9.72505658,443,587,9.72505658
05-03-20,3296,769,3858,60.359546,54.60610986,63.91698175,12.74032114,590,769,12.74032114
06-03-20,3916,778,4636,60.359546,64.87789023,76.80640938,12.88942763,620,778,12.88942763
07-03-20,5061,1247,5883,60.359546,83.84754915,97.46594184,20.65953246,1145,1247,20.65953246
08-03-20,6387,1492,7375,60.359546,105.8159052,122.1844843,24.71854245,1326,1492,24.71854245
09-03-20,7985,1797,9172,60.359546,132.2905908,151.95608,29.7715957,1598,1797,29.7715957
10-03-20,8514,977,10149,60.359546,141.0547389,168.1424178,16.18633778,529,977,16.18633778
11-03-20,10590,2313,12462,60.359546,175.4486357,206.4627855,38.32036775,2076,2313,38.32036775
12-03-20,12839,2651,15113,60.359546,212.7086907,250.3829303,43.92014479,2249,2651,43.92014479
13-03-20,14955,2547,17660,60.359546,247.7652831,292.5800668,42.19713647,2116,2547,42.19713647
14-03-20,17750,3497,21157,60.359546,294.0711317,350.5162216,57.93615479,2795,3497,57.93615479
15-03-20,20603,3590,24747,60.359546,341.3378888,409.9931434,59.47692184,2853,3590,59.47692184
16-03-20,23073,3233,27980,60.359546,382.2593364,463.5555079,53.56236444,2470,3233,53.56236444
17-03-20,26062,3526,31506,60.359546,431.7792582,521.9721169,58.41660903,2989,3526,58.41660903
18-03-20,28710,4207,35713,60.359546,475.6497009,591.6711169,69.69900006,2648,4207,69.69900006
19-03-20,33190,5322,41035,60.359546,549.8715978,679.8427543,88.17163734,4480,5322,88.17163734
20-03-20,37860,5986,47021,60.359546,627.2412983,779.0151371,99.17238277,4670,5986,99.17238277
21-03-20,42681,6557,53578,60.359546,707.1126744,887.6474982,108.6323612,4821,6557,108.6323612
22-03-20,46638,5560,59138,60.359546,772.6698276,979.7621738,92.11467561,3957,5560,92.11467561
23-03-20,50418,4789,63927,60.359546,835.2945531,1059.103394,79.3412197,3780,4789,79.3412197
24-03-20,54030,5249,69176,60.359546,895.1359575,1146.065612,86.96221804,3612,5249,86.96221804
25-03-20,57521,5210,74386,60.359546,952.9727079,1232.381701,86.31608992,3491,5210,86.31608992
26-03-20,62013,6153,80539,60.359546,1027.393413,1334.320838,101.9391365,4492,6153,101.9391365
27-03-20,66414,5959,86498,60.359546,1100.306487,1433.045901,98.72506331,4401,5959,98.72506331
28-03-20,70065,5974,92472,60.359546,1160.794019,1532.019475,98.97357412,3651,5974,98.97357412
29-03-20,73880,5217,97689,60.359546,1223.998603,1618.451537,86.43206163,3815,5217,86.43206163
30-03-20,75528,4050,101739,60.359546,1251.301658,1685.549457,67.09792019,1648,4050,67.09792019
31-03-20,77635,4053,105792,60.359546,1286.209144,1752.69708,67.14762235,2107,4053,67.14762235
01-04-20,80572,4782,110574,60.359546,1334.867562,1831.922328,79.22524798,2937,4782,79.22524798
02-04-20,83049,4668,115242,60.359546,1375.904981,1909.258893,77.33656579,2477,4668,77.33656579
03-04-20,85388,4585,119827,60.359546,1414.656101,1985.220366,75.96147261,2339,4585,75.96147261
04-04-20,88274,4805,124632,60.359546,1462.469582,2064.826664,79.6062979,2886,4805,79.6062979
05-04-20,91246,4316,128948,60.359546,1511.707858,2136.331509,71.50484531,2972,4316,71.50484531
06-04-20,93187,3599,132547,60.359546,1543.865158,2195.957538,59.62602833,1941,3599,59.62602833
07-04-20,94067,3039,135586,60.359546,1558.444459,2246.305829,50.34829122,880,3039,50.34829122
08-04-20,95262,3836,139422,60.359546,1578.242487,2309.858328,63.55249922,1195,3836,63.55249922
09-04-20,96877,4204,143626,60.359546,1604.998818,2379.507626,69.64929789,1615,4204,69.64929789
10-04-20,98273,3951,147577,60.359546,1628.126891,2444.965375,65.4577488,1396,3951,65.4577488
11-04-20,100269,4694,152271,60.359546,1661.195397,2522.732693,77.76731787,1996,4694,77.76731787
12-04-20,102253,4092,156363,60.359546,1694.065095,2590.526443,67.79375047,1984,4092,67.79375047
13-04-20,103616,3153,159516,60.359546,1716.646444,2642.763416,52.23697342,1363,3153,52.23697342
14-04-20,104291,2972,162488,60.359546,1727.829431,2692.001693,49.23827625,675,2972,49.23827625
15-04-20,105418,2667,165155,60.359546,1746.500877,2736.186916,44.185223,1127,2667,44.185223
16-04-20,106607,3786,168941,60.359546,1766.199501,2798.911045,62.72412983,1189,3786,62.72412983
17-04-20,106962,3493,172434,60.359546,1772.080923,2856.780931,57.86988524,355,3493,57.86988524
18-04-20,107771,3491,175925,60.359546,1785.48394,2914.617681,57.83675046,809,3491,57.83675046
19-04-20,108257,3047,178972,60.359546,1793.53569,2965.098512,50.48083032,486,3047,50.48083032
20-04-20,108237,2256,181228,60.359546,1793.204343,3002.474538,37.37602665,-20,2256,37.37602665
21-04-20,107709,2729,183957,60.359546,1784.456762,3047.686939,45.21240103,-528,2729,45.21240103
22-04-20,107699,3370,187327,60.359546,1784.291088,3103.519036,55.83209655,-10,3370,55.83209655
23-04-20,106848,2646,189973,60.359546,1770.192241,3147.356344,43.83730786,-851,2646,43.83730786
24-04-20,106527,3021,192994,60.359546,1764.87411,3197.406422,50.05007824,-321,3021,50.05007824
25-04-20,105847,2357,195351,60.359546,1753.608286,3236.455755,39.04933281,-680,2357,39.04933281
26-04-20,106103,2324,197675,60.359546,1757.849537,3274.958364,38.50260902,256,2324,38.50260902
27-04-20,105813,1739,199414,60.359546,1753.044995,3303.769051,28.81068721,-290,1739,28.81068721
28-04-20,105205,2091,201505,60.359546,1742.972023,3338.411459,34.64240768,-608,2091,34.64240768
