Region,region.en,4-10_03 new cases,11-17_03 new cases,18-24_03 new cases,25-31_03 new cases,1-7_04 new cases,8-14_04 new cases,15-21_04 new cases,22-28_04 new cases
Abruzzo,Abruzzo,32,191,460,712,398,446,422,232
Basilicata,Basilicata,6,13,72,134,65,28,31,16
Calabria,Calabria,12,101,205,340,174,123,91,50
Campania,Campania,97,333,641,991,1056,621,366,245
Emilia-Romagna,Emilia-Romagna,1113,2398,5323,4820,3751,2927,2340,1822
Friuli Venezia Giulia,Friuli-Venezia Giulia,103,278,598,601,560,367,272,203
Lazio,Lazio,102,491,1121,1367,1054,962,784,572
Liguria,Liguria,117,637,1338,1300,1341,1051,956,1008
Lombardia,Lombardy,4271,10429,14483,12704,9117,9001,6605,6417
Marche,Marche,333,977,1365,1089,885,716,451,298
Molise,Molise,12,10,48,71,80,33,25,15
Piemonte,Piedmont,397,1444,3618,3786,4042,4347,4265,3495
Puglia,Apulia,53,281,665,798,711,604,504,358
Sardegna,Sardinia,19,97,304,301,213,203,98,49
Sicilia,Sicily,55,175,609,801,450,404,334,285
Toscana,Tuscany,245,789,1646,1909,1565,1354,1076,628
Trentino Alto Adige,Trentino-Alto Adige/South Tyrol,85,586,1215,1226,1170,1038,795,499
Umbria,Umbria,29,160,451,430,185,58,32,26
Valle d'Aosta,Aosta,17,119,264,228,207,112,146,26
Veneto,Veneto,549,1848,3244,3207,2770,2507,1972,1304
