data,Region,region.en,total positive,total cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil,new,new.per.pop,taste,smell,covid
2020-03-31,Abruzzo,Abruzzo,1191,1401,1311580,1.31158,908.0650818,1068.177313,712,542.8567072,,,80
2020-03-31,Basilicata,Basilicata,216,226,562869,0.562869,383.7482611,401.5143843,134,238.0660509,,,68
2020-03-31,Calabria,Calabria,606,659,1947131,1.947131,311.2271337,338.4466685,340,174.6158836,,,56
2020-03-31,Campania,Campania,1871,2092,5801692,5.801692,322.4921282,360.584464,991,170.8122389,28,20,71
2020-03-31,Emilia-Romagna,Emilia-Romagna,10953,14074,4459477,4.459477,2456.117612,3155.975465,4820,1080.844234,62,49,61
2020-03-31,Friuli Venezia Giulia,Friuli-Venezia Giulia,1160,1593,1215220,1.21522,954.5596682,1310.873751,601,494.5606557,,,57
2020-03-31,Lazio,Lazio,2642,3095,5879082,5.879082,449.3898877,526.4427337,1367,232.5192947,21,11,70
2020-03-31,Liguria,Liguria,2508,3416,1550640,1.55064,1617.396688,2202.961358,1300,838.3635144,100,87,86
2020-03-31,Lombardia,Lombardy,25124,43208,10060574,10.060574,2497.273018,4294.784771,12704,1262.751012,92,100,74
2020-03-31,Marche,Marche,3352,3825,1525271,1.525271,2197.642255,2507.751082,1089,713.9714844,68,53,62
2020-03-31,Molise,Molise,117,144,305617,0.305617,382.8321069,471.1779777,71,232.3169195,,,100
2020-03-31,Piemonte,Piedmont,8082,9301,4356406,4.356406,1855.198987,2135.016801,3786,869.0650045,79,94,77
2020-03-31,Puglia,Apulia,1654,1803,4029053,4.029053,410.5183029,447.4996978,798,198.0614303,15,15,58
2020-03-31,Sardegna,Sardinia,657,722,1639591,1.639591,400.7096892,440.3537224,301,183.582369,,,65
2020-03-31,Sicilia,Sicily,1492,1647,4999891,4.999891,298.4065053,329.4071811,801,160.2034924,13,34,60
2020-03-31,Toscana,Tuscany,4226,4608,3729641,3.729641,1133.084927,1235.507653,1909,511.8455101,26,20,63
2020-03-31,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,2531,3117,1072276,1.072276,2360.399748,2906.900835,1226,1143.362343,,,48
2020-03-31,Umbria,Umbria,851,1078,882015,0.882015,964.8361989,1222.201436,430,487.5200535,,,82
2020-03-31,Valle d'Aosta,Aosta,552,628,125666,0.125666,4392.596247,4997.373991,228,1814.333233,,,68
2020-03-31,Veneto,Veneto,7850,9155,4905854,4.905854,1600.129152,1866.137883,3207,653.708814,16,48,56
,,,,,,,,,,,,,
data,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
2020-03-31T17:00:00,,,,,,,,,,,,,
