date,us.taste,us.smell,italy.taste,italy.smell
2020-02-04,3,3,0,0
2020-02-05,3,3,0,0
2020-02-06,1,2,0,0
2020-02-07,1,1,4,0
2020-02-08,3,1,5,5
2020-02-09,3,1,0,4
2020-02-10,3,2,0,0
2020-02-11,2,1,0,0
2020-02-12,2,2,4,4
2020-02-13,3,2,0,0
2020-02-14,1,1,5,0
2020-02-15,1,1,0,0
2020-02-16,2,1,0,0
2020-02-17,3,2,0,4
2020-02-18,4,2,0,0
2020-02-19,2,2,0,0
2020-02-20,2,2,4,4
2020-02-21,2,2,0,4
2020-02-22,2,2,0,0
2020-02-23,1,1,0,0
2020-02-24,3,2,4,4
2020-02-25,2,1,0,0
2020-02-26,4,2,0,0
2020-02-27,2,2,4,4
2020-02-28,1,2,4,4
2020-02-29,2,1,4,5
2020-03-01,4,2,4,4
2020-03-02,2,1,4,4
2020-03-03,1,1,0,0
2020-03-04,4,1,0,4
2020-03-05,1,3,8,10
2020-03-06,1,2,6,6
2020-03-07,2,2,13,9
2020-03-08,3,2,9,15
2020-03-09,2,1,6,6
2020-03-10,3,1,4,6
2020-03-11,2,1,7,7
2020-03-12,2,2,11,13
2020-03-13,2,2,14,16
2020-03-14,4,2,26,39
2020-03-15,3,3,44,53
2020-03-16,2,2,31,29
2020-03-17,4,3,79,100
2020-03-18,4,6,74,78
2020-03-19,4,6,62,78
2020-03-20,9,9,28,32
2020-03-21,9,12,42,52
2020-03-22,23,24,55,51
2020-03-23,63,86,42,52
2020-03-24,46,62,60,64
2020-03-25,37,45,51,47
2020-03-26,29,33,44,41
2020-03-27,22,27,38,33
2020-03-28,30,29,27,23
2020-03-29,28,31,30,28
2020-03-30,26,27,38,29
2020-03-31,20,22,29,31
2020-04-01,20,23,30,28
2020-04-02,23,26,7,17
2020-04-03,20,18,19,19
2020-04-04,23,20,24,15
2020-04-05,21,19,11,9
2020-04-06,16,18,15,11
2020-04-07,14,14,7,4
2020-04-08,12,15,15,15
2020-04-09,14,12,6,6
2020-04-10,12,13,8,12
2020-04-11,12,13,11,11
2020-04-12,15,13,12,10
2020-04-13,13,16,13,7
2020-04-14,15,15,13,11
2020-04-15,9,9,0,4
2020-04-16,12,12,6,6
2020-04-17,14,11,10,13
2020-04-18,9,11,8,6
2020-04-19,9,8,10,17
2020-04-20,10,9,14,12
2020-04-21,9,10,5,14
2020-04-22,8,6,4,4
2020-04-23,8,10,0,0
2020-04-24,10,8,14,12
2020-04-25,11,7,4,11
2020-04-26,10,12,4,6
2020-04-27,9,8,6,4
2020-04-28,10,9,4,4
